1,500,829
2,500,784
3,500,721
4,500,789
5,500,704
6,490,735
7,500,771
8,460,506
9,530,583
10,420,586
11,480,734
12,530,910
13,520,831
14,580,1010
15,560,684
16,490,607
17,430,714
18,590,742
19,500,406
20,690,734
21,560,777
22,520,666
23,570,758
24,490,719
25,470,798
26,520,891
27,470,717
28,520,790
29,530,884
30,530,841
31,500,803
32,520,809
33,570,862
34,580,957
35,630,736
36,500,820
37,540,705
38,540,710
39,840,847
40,350,681
41,370,746
42,450,899
43,490,772
44,470,828
45,430,695
46,540,633
47,690,619
48,460,573
49,700,924
50,650,878
51,390,830
52,490,1119
53,490,423
54,490,418
55,390,672
56,410,737
57,490,890
58,390,748
59,410,813
60,490,966
61,520,1077
